SITE_ID,STATE_NAME,DISTRICT_NAME,TAHSIL_NAME,BLOCK_NAME,SITE_NAME,SITE_TYPE,SITE_SUB_TYPE,AQUIFER_TYPE,DEPTH,WLS_DATE,WLS_WTR_LEVE
W131351092571902,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,DIGLIPUR,DIGLIPUR,Durgapur,Dug Well,,Unconfined,3.57,30-Nov-22,0.53
W131537093004901,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,DIGLIPUR,DIGLIPUR,Keralapuram,Dug Well,,Unconfined,8,30-Nov-22,0.45
W130955092525301,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,DIGLIPUR,DIGLIPUR,Kishorinagar,Dug Well,,Unconfined,5,30-Nov-22,1.6
W131708093001101,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,DIGLIPUR,DIGLIPUR,Laxmipur,Dug Well,,Unconfined,4.92,30-Nov-22,0.2
W131850092563301,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,DIGLIPUR,DIGLIPUR,Milangram,Dug Well,,Unconfined,8,30-Nov-22,0.6
W131024092555501,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,DIGLIPUR,DIGLIPUR,Nabagram,Dug Well,,Unconfined,4.5,30-Nov-22,0.52
W131351092571901,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,DIGLIPUR,DIGLIPUR,Sitanagar NMA,Dug Well,,Unconfined,10,30-Nov-22,0.42
W131427092592601,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,DIGLIPUR,DIGLIPUR,Subhasgram,Dug Well,,Unconfined,10,30-Nov-22,0.33
W123014092513301,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,MAYABUNDER,MAYABUNDER,Bakultala,Dug Well,,Unconfined,10,30-Nov-22,0.99
W124345092530501,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,MAYABUNDER,MAYABUNDER,Basantipur,Dug Well,,Not Available,5.6,30-Nov-22,0.41
W123720092522201,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,MAYABUNDER,MAYABUNDER,Betapur,Dug Well,,Unconfined,10,30-Nov-22,0.8
W125856092504401,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,MAYABUNDER,MAYABUNDER,Haribeck,Dug Well,,Unconfined,4.93,30-Nov-22,0.62
W124157092525401,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,MAYABUNDER,MAYABUNDER,Joypur,Dug Well,,Unconfined,7,30-Nov-22,0.75
W125604092513601,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,MAYABUNDER,MAYABUNDER,Mohanpur,Dug Well,,Unconfined,5.6,30-Nov-22,0.33
W123129092581301,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,MAYABUNDER,MAYABUNDER,Nimbutala,Dug Well,,Unconfined,10,30-Nov-22,0.84
W123030092573801,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,MAYABUNDER,MAYABUNDER,Padmanavapuram,Dug Well,,Unconfined,10,30-Nov-22,2.27
W125022092511201,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,MAYABUNDER,MAYABUNDER,Pahalgaon,Dug Well,,Unconfined,6.6,30-Nov-22,1.95
W123124092542401,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,MAYABUNDER,MAYABUNDER,Parnshala,Dug Well,,Unconfined,5.5,30-Nov-22,0.27
W123020092544201,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,MAYABUNDER,MAYABUNDER,Rangat,Dug Well,,Unconfined,10,30-Nov-22,0.62
W124940092512801,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,MAYABUNDER,MAYABUNDER,Rest Camp,Dug Well,,Unconfined,10,30-Nov-22,0.23
W123652092555501,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,MAYABUNDER,MAYABUNDER,Swadeshnagar,Dug Well,,Unconfined,5.49,30-Nov-22,0.99
W125023092511401,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,MAYABUNDER,MAYABUNDER,Tugapur no 8,Dug Well,,Unconfined,5.3,30-Nov-22,0.17
W125201092521901,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,MAYABUNDER,MAYABUNDER,Webi Debipur,Dug Well,,Unconfined,7.4,30-Nov-22,0.2
W121001092455601,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,RONGET,RONGET,Baratang (Nilambur),Dug Well,,Unconfined,6.6,30-Nov-22,0.39
W122041092464401,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,RONGET,RONGET,Kadamtala,Dug Well,,Unconfined,4.11,30-Nov-22,0.34
W122343092465601,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,RONGET,RONGET,Kausalyanagar,Dug Well,,Unconfined,10,30-Nov-22,0.06
W122205092551201,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,RONGET,RONGET,Long Island,Dug Well,,Unconfined,3.85,30-Nov-22,0.4
W122200092552201,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,RONGET,RONGET,Long Island (Forest,Dug Well,,Unconfined,10,30-Nov-22,1.46
W122158092551301,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,RONGET,RONGET,Long Island Sec School,Dug Well,,Unconfined,3.87,30-Nov-22,1.2
W122440092454401,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,RONGET,RONGET,Phooltala Basti,Dug Well,,Unconfined,6,30-Nov-22,0.65
W122009092455601,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,RONGET,RONGET,Porlobjig-15,Dug Well,,Unconfined,5.77,30-Nov-22,1.96
W121113092473001,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,RONGET,RONGET,South Creek,Dug Well,,Unconfined,6.9,30-Nov-22,0.75
W122724092462501,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,RONGET,RONGET,Tikadera,Dug Well,,Unconfined,7.5,30-Nov-22,2.27
W121858092472001,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,RONGET,RONGET,Uttara,Dug Well,,Unconfined,4.1,30-Nov-22,0.29
W114231092390001,Andaman and Nicobar,SOUTH ANDAMAN,FERRARGUNJ,FERRARGUNJ,Annikat,Dug Well,,Unconfined,3.59,30-Nov-22,1.5
W114220092425701,Andaman and Nicobar,SOUTH ANDAMAN,FERRARGUNJ,FERRARGUNJ,Bambooflat,Dug Well,,Unconfined,10,30-Nov-22,0.45
W114320092393901,Andaman and Nicobar,SOUTH ANDAMAN,FERRARGUNJ,FERRARGUNJ,Bindraban,Dug Well,,Unconfined,4.98,30-Nov-22,1.16
W114012092415801,Andaman and Nicobar,SOUTH ANDAMAN,FERRARGUNJ,FERRARGUNJ,Dandas Point,Dug Well,,Unconfined,10,30-Nov-22,4.45
W114302092391001,Andaman and Nicobar,SOUTH ANDAMAN,FERRARGUNJ,FERRARGUNJ,Ferrarganj,Dug Well,,Unconfined,5.16,30-Nov-22,0.34
W114153092433801,Andaman and Nicobar,SOUTH ANDAMAN,FERRARGUNJ,FERRARGUNJ,Hope Town Marmon,Dug Well,,Unconfined,4.31,30-Nov-22,1.49
W114358092423201,Andaman and Nicobar,SOUTH ANDAMAN,FERRARGUNJ,FERRARGUNJ,Knoppuram,Dug Well,,Unconfined,5.11,30-Nov-22,0.07
W114602092422101,Andaman and Nicobar,SOUTH ANDAMAN,FERRARGUNJ,FERRARGUNJ,Mannar Ghat,Dug Well,,Unconfined,5.02,30-Nov-22,1.51
